Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
25,-1,0.70,47.61904761904761,0.30
46,-1,0.50,100.0,0.50
67,-1,0.60,100.0,0.40
88,-1,0.25,80.95238095238095,0.75
109,-1,1.00,100.0,0.00
130,-1,0.85,100.0,0.15
151,-1,0.95,100.0,0.05
172,-1,0.55,100.0,0.45
193,-1,0.90,100.0,0.10
214,-1,1.00,100.0,0.00
235,-1,1.00,100.0,0.00
256,-1,1.00,100.0,0.00
277,-1,0.45,100.0,0.55
298,-1,1.00,100.0,0.00
319,-1,1.00,100.0,0.00
340,-1,1.00,100.0,0.00
361,-1,1.00,100.0,0.00
382,-1,1.00,100.0,0.00
403,-1,1.00,100.0,0.00
424,-1,1.00,100.0,0.00
445,-1,1.00,100.0,0.00
466,-1,1.00,100.0,0.00
487,-1,1.00,100.0,0.00
508,-1,1.00,100.0,0.00
529,-1,1.00,100.0,0.00
550,-1,1.00,100.0,0.00
571,-1,1.00,100.0,0.00
592,-1,1.00,100.0,0.00
613,-1,1.00,100.0,0.00
634,-1,1.00,100.0,0.00
655,-1,1.00,100.0,0.00
676,-1,0.45,100.0,0.55
697,-1,1.00,100.0,0.00
718,-1,1.00,100.0,0.00
739,-1,1.00,100.0,0.00
760,-1,1.00,100.0,0.00
781,-1,1.00,100.0,0.00
802,-1,1.00,100.0,0.00
823,-1,1.00,100.0,0.00
844,-1,1.00,100.0,0.00
865,-1,1.00,100.0,0.00
886,-1,1.00,100.0,0.00
907,-1,1.00,100.0,0.00
928,-1,1.00,100.0,0.00
949,-1,1.00,100.0,0.00
970,-1,1.00,100.0,0.00
991,-1,1.00,100.0,0.00
1012,-1,1.00,100.0,0.00
1033,-1,1.00,100.0,0.00
1054,-1,1.00,100.0,0.00
1075,-1,1.00,100.0,0.00
1096,-1,1.00,100.0,0.00
1117,-1,1.00,100.0,0.00
1138,-1,1.00,100.0,0.00
1159,-1,1.00,100.0,0.00
1180,-1,1.00,100.0,0.00
1201,-1,1.00,100.0,0.00
1222,-1,1.00,100.0,0.00
1243,-1,1.00,100.0,0.00
1264,-1,1.00,100.0,0.00
1285,-1,1.00,100.0,0.00
1306,-1,1.00,100.0,0.00
1327,-1,1.00,100.0,0.00
1348,-1,0.70,71.42857142857143,0.30
1369,-1,0.20,100.0,0.80
1390,-1,0.40,100.0,0.60
1411,-1,0.30,100.0,0.70
1432,-1,0.40,100.0,0.60
1453,-1,0.15,100.0,0.85
1474,-1,0.30,100.0,0.70
