Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
25,-1,0.35,100.0,0.65
46,-1,0.85,100.0,0.15
67,-1,0.85,90.47619047619048,0.15
88,-1,0.8,90.47619047619048,0.2
109,-1,1.0,100.0,0.0
130,-1,0.8,100.0,0.2
151,-1,0.9,100.0,0.1
172,-1,0.75,95.23809523809523,0.25
193,-1,0.95,100.0,0.05
214,-1,1.0,100.0,0.0
235,-1,1.0,100.0,0.0
256,-1,1.0,100.0,0.0
277,-1,0.85,95.23809523809523,0.15
298,-1,1.0,100.0,0.0
319,-1,1.0,100.0,0.0
340,-1,1.0,100.0,0.0
361,-1,1.0,100.0,0.0
382,-1,1.0,100.0,0.0
403,-1,1.0,100.0,0.0
424,-1,1.0,100.0,0.0
445,-1,1.0,100.0,0.0
466,-1,1.0,100.0,0.0
487,-1,1.0,100.0,0.0
508,-1,1.0,100.0,0.0
529,-1,1.0,100.0,0.0
550,-1,1.0,100.0,0.0
571,-1,1.0,100.0,0.0
592,-1,1.0,100.0,0.0
613,-1,1.0,100.0,0.0
634,-1,1.0,100.0,0.0
655,-1,1.0,100.0,0.0
676,-1,0.85,100.0,0.15
697,-1,1.0,100.0,0.0
718,-1,1.0,100.0,0.0
739,-1,1.0,100.0,0.0
760,-1,1.0,100.0,0.0
781,-1,1.0,100.0,0.0
802,-1,1.0,100.0,0.0
823,-1,1.0,100.0,0.0
844,-1,1.0,100.0,0.0
865,-1,1.0,100.0,0.0
886,-1,1.0,100.0,0.0
907,-1,1.0,100.0,0.0
928,-1,1.0,100.0,0.0
949,-1,1.0,100.0,0.0
970,-1,1.0,100.0,0.0
991,-1,1.0,100.0,0.0
1012,-1,1.0,100.0,0.0
1033,-1,1.0,100.0,0.0
1054,-1,1.0,100.0,0.0
1075,-1,1.0,100.0,0.0
1096,-1,1.0,100.0,0.0
1117,-1,1.0,100.0,0.0
1138,-1,1.0,100.0,0.0
1159,-1,1.0,100.0,0.0
1180,-1,1.0,100.0,0.0
1201,-1,1.0,100.0,0.0
1222,-1,1.0,100.0,0.0
1243,-1,1.0,100.0,0.0
1264,-1,1.0,100.0,0.0
1285,-1,1.0,100.0,0.0
