Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
25,-1,0.85,28.57142857142857,0.15
46,-1,0.75,57.14285714285714,0.25
67,-1,0.90,42.857142857142854,0.10
88,-1,0.75,66.66666666666666,0.25
109,-1,0.75,100.0,0.25
130,-1,0.75,100.0,0.25
151,-1,0.65,100.0,0.35
172,-1,0.65,100.0,0.35
193,-1,0.70,100.0,0.30
214,-1,0.85,100.0,0.15
235,-1,0.65,100.0,0.35
256,-1,0.65,100.0,0.35
277,-1,0.80,100.0,0.20
298,-1,0.70,100.0,0.30
319,-1,0.50,100.0,0.50
340,-1,0.85,100.0,0.15
361,-1,0.90,100.0,0.10
382,-1,0.65,100.0,0.35
403,-1,0.85,100.0,0.15
424,-1,0.85,100.0,0.15
445,-1,0.55,100.0,0.45
466,-1,0.80,100.0,0.20
487,-1,0.75,100.0,0.25
508,-1,0.55,100.0,0.45
529,-1,0.90,100.0,0.10
550,-1,0.65,100.0,0.35
571,-1,0.60,100.0,0.40
592,-1,0.65,100.0,0.35
613,-1,0.65,100.0,0.35
634,-1,0.65,100.0,0.35
655,-1,0.55,100.0,0.45
676,-1,0.85,100.0,0.15
697,-1,0.95,100.0,0.05
718,-1,0.60,100.0,0.40
739,-1,0.70,100.0,0.30
760,-1,0.80,100.0,0.20
781,-1,0.60,100.0,0.40
802,-1,0.70,100.0,0.30
823,-1,0.65,100.0,0.35
844,-1,0.80,100.0,0.20
865,-1,0.65,100.0,0.35
886,-1,0.85,100.0,0.15
907,-1,0.65,100.0,0.35
928,-1,0.75,100.0,0.25
949,-1,0.85,100.0,0.15
970,-1,0.80,100.0,0.20
991,-1,0.85,100.0,0.15
1012,-1,0.65,100.0,0.35
1033,-1,0.70,100.0,0.30
1054,-1,0.70,100.0,0.30
1075,-1,0.75,100.0,0.25
1096,-1,0.75,100.0,0.25
1117,-1,0.80,100.0,0.20
1138,-1,0.75,100.0,0.25
1159,-1,0.90,100.0,0.10
1180,-1,0.80,100.0,0.20
1201,-1,0.85,100.0,0.15
1222,-1,0.75,100.0,0.25
1243,-1,0.70,100.0,0.30
1264,-1,0.60,100.0,0.40
1285,-1,0.90,100.0,0.10
1306,-1,0.80,100.0,0.20
1327,-1,0.60,100.0,0.40
1348,-1,0.85,52.38095238095239,0.15
1369,-1,0.85,23.809523809523807,0.15
1390,-1,0.75,85.71428571428571,0.25
