Current_Step,DQN Loss,Zero_Vectors_Ratio,Cumulative_Accuracy,Action_1_Ratio
25,-1,0.00,100.0,1.00
46,-1,0.00,100.0,1.00
67,-1,0.20,95.23809523809523,0.80
88,-1,0.75,57.14285714285714,0.25
109,-1,0.00,100.0,1.00
130,-1,0.00,100.0,1.00
151,-1,0.40,100.0,0.60
172,-1,0.55,100.0,0.45
193,-1,0.00,100.0,1.00
214,-1,0.00,100.0,1.00
235,-1,0.60,100.0,0.40
256,-1,0.35,100.0,0.65
277,-1,0.00,100.0,1.00
298,-1,0.00,100.0,1.00
319,-1,0.80,100.0,0.20
340,-1,0.15,100.0,0.85
361,-1,0.00,100.0,1.00
382,-1,0.00,100.0,1.00
403,-1,1.00,100.0,0.00
424,-1,0.00,100.0,1.00
445,-1,0.00,100.0,1.00
466,-1,0.15,100.0,0.85
487,-1,0.80,100.0,0.20
508,-1,0.00,100.0,1.00
529,-1,0.00,100.0,1.00
550,-1,0.35,100.0,0.65
571,-1,0.60,100.0,0.40
592,-1,0.00,100.0,1.00
613,-1,0.00,100.0,1.00
634,-1,0.55,100.0,0.45
655,-1,0.40,100.0,0.60
676,-1,0.00,100.0,1.00
697,-1,0.00,100.0,1.00
718,-1,0.75,100.0,0.25
739,-1,0.20,100.0,0.80
760,-1,0.00,100.0,1.00
781,-1,0.00,100.0,1.00
802,-1,0.95,100.0,0.05
823,-1,0.00,100.0,1.00
844,-1,0.00,100.0,1.00
865,-1,0.10,100.0,0.90
886,-1,0.85,100.0,0.15
907,-1,0.00,100.0,1.00
928,-1,0.00,100.0,1.00
949,-1,0.30,100.0,0.70
970,-1,0.65,100.0,0.35
991,-1,0.00,100.0,1.00
1012,-1,0.00,100.0,1.00
1033,-1,0.50,100.0,0.50
1054,-1,0.45,100.0,0.55
1075,-1,0.00,100.0,1.00
1096,-1,0.00,100.0,1.00
1117,-1,0.70,100.0,0.30
1138,-1,0.25,100.0,0.75
1159,-1,0.00,100.0,1.00
1180,-1,0.00,100.0,1.00
1201,-1,0.90,100.0,0.10
1222,-1,0.05,100.0,0.95
1243,-1,0.00,100.0,1.00
1264,-1,0.05,100.0,0.95
1285,-1,0.90,100.0,0.10
1306,-1,0.00,100.0,1.00
1327,-1,0.00,100.0,1.00
1348,-1,0.25,66.66666666666666,0.75
1369,-1,0.70,42.857142857142854,0.30
1390,-1,0.00,100.0,1.00
1411,-1,0.00,100.0,1.00
1432,-1,0.45,71.42857142857143,0.55
1453,-1,0.50,42.857142857142854,0.50
1474,-1,0.00,100.0,1.00
1495,-1,0.00,100.0,1.00
1516,-1,0.65,47.61904761904761,0.35
1537,-1,0.30,57.14285714285714,0.70
1558,-1,0.00,100.0,1.00
1579,-1,0.00,100.0,1.00
1600,-1,0.85,100.0,0.15
1621,-1,0.10,85.71428571428571,0.90
1642,-1,0.00,90.47619047619048,1.00
